,address,adm-fees,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude,rand
22,"Rua Contria, 784 ",290.0,1,862972.0,2,160, Alto Barroca, Belo Horizonte ,-19.9288646,-43.9703277,0.5062949356528457
23,"Rua Jacson Passos, 15 ",,3,728624.0,3,200, Goiânia, Belo Horizonte ,-19.8587547,-43.9011513,0.20959377908251342
24,"Rua Tenente Marino Freire, 135 ",110.0,2,450756.0,3,140, Maria Helena, Belo Horizonte ,-19.8018933,-43.993773,0.8620034742205218
25,"Rua Sebastião Fabiano Dias, 105 ",2270.0,3,2305274.0,4,178, Belvedere, Belo Horizonte ,-19.9763098,-43.9441586,0.8219159535768218
26,"Avenida José Cândido da Silveira, 549 ",370.0,2,450387.0,3,90, Cidade Nova, Belo Horizonte ,-19.8772474,-43.9104561,0.25967247208072897
27,"Rua Grenat, 120 ",,3,458170.0,4,254, Vitória, Belo Horizonte ,-19.8618303,-43.8875317,0.7479493010674572
28,"Rua São Paulo, 1801 ",900.0,3,2359233.0,3,123, Lourdes, Belo Horizonte ,-19.914782,-43.9388011,0.6505332324343351
29,"Rua Antônio de Albuquerque, 230 ",1000.0,2,1056285.0,2,72, Savassi, Belo Horizonte ,-19.936584,-43.9421163,0.8683705562333565
30,"Rua da Bahia, 485 ",500.0,--,445071.0,3,96, Centro, Belo Horizonte ,-19.9151776,-43.9347647,0.7123948405074947
31,"Rua Mariano Procópio, 376 ",,2,421063.0,2,55, João Pinheiro, Belo Horizonte ,-19.9305746,-43.9939538,0.7615283313738757
32,"Rua São Sebastião do Paraíso, 351 ",460.0,3,637147.0,4,115, Itapoã, Belo Horizonte ,-19.8351911,-43.9633143,0.6907733676421896
33,"Rua Doutor Juvenal dos Santos, 324 ",900.0,2,957854.0,3,120, Luxemburgo, Belo Horizonte ,-19.9508257,-43.9585445,0.2688761622578497
34,"Rua Santa Rosa, 50 ",,1,332082.0,3,80, São Tomaz, Belo Horizonte ,-19.7876321,-43.977021,0.06941157113820196
35,"Rua Alvarenga Peixoto, 594 ",,1,832380.0,1,39-48, Lourdes, Belo Horizonte ,-19.929576,-43.9494157,0.9695262823955073
36,"Rua Mirante, 203 ",,--,396053.0,--,360, Boa Vista, Belo Horizonte ,-19.8910998,-43.890295,0.3157867012061404
37,"Rua Deputado Bernardino de Sena Figueiredo, 1177 ",,3,708128.0,3,90, Cidade Nova, Belo Horizonte ,-19.8840778,-43.9282818,0.42142512785422803
38,"Avenida Cristiano Machado, 1420 ",500.0,1,333901.0,3,92, Sagrada Família, Belo Horizonte ,-19.8475195,-43.9324755,0.5138374968650514
39,"Avenida Amazonas, 61 ",380.0,--,357197.0,2,65, Centro, Belo Horizonte ,-19.9379439,-43.9991336,0.16240973224057442
40,"Rua Rubi, 402 ",550.0,1,707900.0,3,110, Prado, Belo Horizonte ,-19.7884921,-43.9717152,0.7983355838022097
41,"Rua Alvarenga Peixoto, 425 ",,2,1143931.0,2-3,66-118, Lourdes, Belo Horizonte ,-19.929576,-43.9494157,0.7977362792999578
42,"Rua Mariano Procópio, 376 ",,2,464995.0,2,130, João Pinheiro, Belo Horizonte ,-19.9305746,-43.9939538,0.6832882943395191
43,Rua Flor,300.0,1,564000.0,3,68,,Belo Horizonte,-19.8339596,-43.8688074,0.3939342005657095
44,"Rua Sebastião Fabiano Dias, 233 ",1350.0,2,1108288.0,3,100, Belvedere, Belo Horizonte ,-19.9763098,-43.9441586,0.9170751342183078
45,"Rua Ramalho Ortigão, 649 ",,3,818741.0,3,200, Santa Branca, Belo Horizonte ,-19.8327541,-43.9664751,0.06407347606549008
46,Rua Lavras ,,4,4855983.0,4,391, São Pedro, Belo Horizonte ,-19.9481626,-43.9382658,0.5618646072581617
47,"Rua dos Timbiras, 3198 ",,2-3,,2-3,66-145, Barro Preto, Belo Horizonte ,-19.9302789,-43.9251047,0.37983228522255363
48,Rua Tabelião Ferreira de Carvalho ,650.0,2,724066.0,3,93, Cidade Nova, Belo Horizonte ,-19.8869404,-43.9290733,0.1411881988989797
49,"Rua José Hemetério Andrade, 558 ",400.0,1,381569.0,2,75, Buritis, Belo Horizonte ,-19.9786425,-43.9631117,0.9613967501218639
50,Rua Ubá ,700.0,2,764665.0,3,106, Colégio Batista, Belo Horizonte ,-19.9102519,-43.9356369,0.4129104135462791
51,"Rua Caraça, 507 ",1350.0,2,1287196.0,4,145, Serra, Belo Horizonte ,-19.9430505,-43.9141262,0.19301183688908263
52,"Rua Eli Seabra Filho, 215 ",400.0,2,797153.0,3,215, Buritis, Belo Horizonte ,-19.9756218,-43.9749864,0.5529356615693374
53,"Rua Juiz Costa Val, 118 ",,1,639271.0,2,66, Santa Efigênia, Belo Horizonte ,-19.9271004,-43.9192351,0.9489947036753132
54,"Rua Rio Grande do Sul, 2414 ",,1-2,788236.0,1-2,43, Santo Agostinho, Belo Horizonte ,-19.9227162,-43.946463,0.755946968438644
55,"Rua Pouso Alegre, 2615 ",494.0,1,357248.0,2,50, Horto, Belo Horizonte ,-19.9121319,-43.9296778,0.3412169880178719
56,"Rua Almirante Alexandrino, 761 ",1450.0,2,1156284.0,4,148, Gutierrez, Belo Horizonte ,-19.931528,-43.9558202,0.22605423331843866
57,"Rua Santa Rita Durão, 152 ",600.0,2,1567286.0,3,93, Funcionários, Belo Horizonte ,-19.9344756,-43.9346452,0.8733804994716841
58,"Rua José Cláudio Sanches, 120 ",180.0,1,272769.0,3,70, Califórnia, Belo Horizonte ,-19.9315944,-44.0187098,0.8595365749049493
59,"Rua Dois Mil Duzentos e Vinte e Um, 80 ",,1,149506.0,3,56, Granja De Freitas, Belo Horizonte ,-19.9119572,-43.8836351,0.5004986750670505
60,"Rua Itaparica, 221 ",300.0,2,1000953.0,4,103, Serra, Belo Horizonte ,-19.9358076,-43.9195007,0.7207566726634514
61,"Rua Bernardo Guimarães, 594 ",,2-3,1447243.0,3-4,87-134, Savassi, Belo Horizonte ,-19.927333,-43.9477878,0.4543105112779806
62,"Rua Coral, 69 ",1100.0,2,718168.0,3,92, São Pedro, Belo Horizonte ,-19.9485933,-43.9375473,0.4906932795089811
63,"Rua Anhangüera, 95 ",,2,432593.0,3,62, Santa Tereza, Belo Horizonte ,-19.9138422,-43.9206403,0.14930228100160625
64,"Rua José Quirino Rosa, 395 ",1000.0,4,3320508.0,4,600, Braúnas, Belo Horizonte ,-19.8489837,-44.0107497,0.06836069581180193
65,"Rua Alberto Bressane, 247 ",,3,1582825.0,4,375, São Lucas, Belo Horizonte ,-19.9300689,-43.9139527,0.724630858686602
66,Rua Daniel de Carvalho ,270.0,2,588473.0,4,142, Gutierrez, Belo Horizonte ,-19.9399033,-43.9587235,0.10325867127781407
67,"Rua Nunes Vieira, 292 ",600.0,1,699973.0,3,120, Santo Antônio, Belo Horizonte ,-19.9424153,-43.945949,0.7052361756254647
68,Rua Flor,500.0,2,590213.0,3,81,,Belo Horizonte,-19.8339596,-43.8688074,0.13609666389409436
69,"Rua Alvarenga Peixoto, 1250 ",,2-3,,2-3,76-208, Santo Agostinho, Belo Horizonte ,-19.929576,-43.9494157,0.8567677075193406
70,Rua Padre Rossini Cândido ,400.0,1,584587.0,3,105, Coração Eucarístico, Belo Horizonte ,-19.9242494,-43.9883924,0.8098410307579873
71,"Rua Ocidental, 126 ",320.0,1,179279.0,2,50, Serrano, Belo Horizonte ,-19.8859929,-44.0105181,0.2049495349049777
72,"Avenida Portugal, 2434 ",,1,863361.0,--,130, Santa Amélia, Belo Horizonte ,-19.8425871,-43.9698185,0.5114852916570422
73,Rua Vitório Marcola ,580.0,1,587789.0,3,96, Anchieta, Belo Horizonte ,-19.9489372,-43.9230864,0.8745305383139409
74,"Rua Doutor Rubens Guimarães, 256 ",680.0,2,1224437.0,4,190, Castelo, Belo Horizonte ,-19.8880639,-43.9981387,0.1312497076280763
75,"Rua Bambuí, 699 ",430.0,2,779759.0,2,72, Cruzeiro, Belo Horizonte ,-19.9521977,-43.9262572,0.6382007273246272
76,"Rua Ouro Preto, 1102 ",,2-3,1452348.0,3-4,103-128, Santo Agostinho, Belo Horizonte ,-19.9190479,-43.949625,0.18115296684140814
77,"Rua Nhanduti, 287 ",,10,3154320.0,18,1050, Caiçara Adeláide, Belo Horizonte ,-19.903732,-43.9746476,0.7260968434036846
78,"Rua Professor Euclydes Ferreira, 339 ",450.0,2,473702.0,2,61, Buritis, Belo Horizonte ,-19.9701337,-43.972571,0.5537180504568772
79,"Rua Manoel Passos, 743 ",,1,501122.0,4,149, Santa Cruz, Belo Horizonte ,-19.8775142,-43.9454267,0.9314762017039807
80,"Rua Rio Grande do Sul, 1212 ",1600.0,2,1889901.0,4,142, Santo Agostinho, Belo Horizonte ,-19.9227162,-43.946463,0.24940854478984642
81,"Rua Padre Francisco Arantes, 151 ",300.0,--,360596.0,3,75, Vila Paris, Belo Horizonte ,-19.9530867,-43.9514407,0.5575649274366816
82,"Rua Djezar Leite, 200 ",190.0,1,203147.0,2,46, Gameleira, Belo Horizonte ,-19.941864,-43.9942715,0.2859413488071887
83,"Rua Ouro Preto, 1240 ",,4,2268976.0,4,133, Santo Agostinho, Belo Horizonte ,-19.9190479,-43.949625,0.9419790681762346
84,"Avenida Coronel José Dias Bicalho, 456 ",320.0,2,607654.0,3,126, São José, Belo Horizonte ,-19.8590713,-43.9656056,0.048246956283915954
85,"Rua Vitória, 85 ",255.0,1,240524.0,2,60, Santa Cruz, Belo Horizonte ,-19.8805752,-43.9366111,0.239460530506859
86,"Rua Alberto Ambrósio dos Santos, 133 ",,--,639181.0,--,436, Mantiqueira, Belo Horizonte ,-19.8029566,-43.9777127,0.4139385314349112
87,"Rua Aurélio Lopes, 248 ",280.0,4,1613076.0,3,208, Diamante, Belo Horizonte ,-19.9954293,-44.0194475,0.5219720178288814
88,"Praça Um Mil e Cinquenta e Dois, 17 ",330.0,1,326808.0,2,64, Castelo, Belo Horizonte ,-19.876972950000003,-43.99427659322822,0.6717015680470956
89,"Rua Xapuri, 607 ",825.0,2,967001.0,3,89, Grajaú, Belo Horizonte ,-19.9437549,-43.9704569,0.44515901446074435
90,"Rua Grão Pará, 486 ",,2,1042900.0,2-3,64-93, Santa Efigênia, Belo Horizonte ,-19.9220194,-43.9214366,0.7936439758659332
91,"Rua Cláudio Manoel, 622 ",700.0,2,1303498.0,3,95, Funcionários, Belo Horizonte ,-19.9335821,-43.9329926,0.7273734773298494
92,Rua Santo Antônio ,198.0,1,181575.0,2,50, São João Batista, Belo Horizonte ,-19.8282851,-44.00698,0.714541501248126
93,Rua Xingu ,,4,1534188.0,4,300, Santa Lúcia, Belo Horizonte ,-19.9729011,-43.9504096,0.8014451739179819
94,"Rua Jacuí, 3480 ",,--,281324.0,1,55, Ipiranga, Belo Horizonte ,-19.8777593,-43.9290751,0.25295468837360313
95,Rua Doutor José Welinton ,140.0,1,245731.0,2,62, Planalto, Belo Horizonte ,-19.8353338,-43.943499,0.16958531307544833
96,"Rua Rio Grande do Norte, 1022 ",,2,1192260.0,3,84-87, Funcionários, Belo Horizonte ,-19.9302239,-43.9306127,0.29660957098344154
97,"Rua Barão de Coromandel, 789 ",550.0,3,868075.0,4,132, Barreiro, Belo Horizonte ,-19.8997258,-43.968762,0.574333947875045
98,Rua Izabel Alves Martins ,240.0,2,375913.0,2,62, Serrano, Belo Horizonte ,-19.882997,-44.0112702,0.3913106395347552
99,"Rua André Cavalcanti, 730 ",1565.0,3,2737864.0,4,141, Gutierrez, Belo Horizonte ,-19.9319115,-43.9611283,0.9037577300393939
100,"Rua Inspetor José Aparecido, 197 ",,6,1285123.0,8,600, São Bento, Belo Horizonte ,-19.9620119,-43.9528593,0.17498085479425685
101,"Rua Xangrilá, 75 ",1900.0,4,3769921.0,5,620, Pampulha, Belo Horizonte ,-19.7532823,-43.9417148,0.08800317048235617
102,"Rua Maria Borboleta, 1138 ",,1,707010.0,3,203, Jardim dos Comerciários, Belo Horizonte ,-19.7977477,-43.9764092,0.40338702205437404
103,"Rua Cachoeira de Minas, 114 ",920.0,3,748463.0,4,136, Gutierrez, Belo Horizonte ,-19.9465331,-43.9600379,0.006805931085804073
104,"Rua Felipe dos Santos, 576 ",,2,1346348.0,2-3,92-125, Lourdes, Belo Horizonte ,-19.9342841,-43.9462997,0.19920814116868957
105,Rua Cardoso ,580.0,2,879410.0,3,174, Santa Efigênia, Belo Horizonte ,-19.9198846,-43.9119026,0.27448316165302755
106,"Rua Pains, 59 ",423.0,1,628899.0,3,118, Sion, Belo Horizonte ,-19.9552539,-43.9311769,0.3315187995173119
107,Avenida Novara ,,6,3176767.0,6,800, Bandeirantes, Belo Horizonte ,-19.8602566,-43.9880343,0.7658018822872119
108,"Rua Dom João Antônio dos Santos, 000 ",,--,2870045.0,12,361, Coração Eucarístico, Belo Horizonte ,-19.9206452,-43.9879917,0.4801795207538654
109,"Rua São Paulo, 1905 ",1012.0,2,1522704.0,3,90, Lourdes, Belo Horizonte ,-19.914782,-43.9388011,0.2792903128222347
110,"Rua Tomé de Souza, 830 ",,--,63091.0,--,53, Savassi, Belo Horizonte ,-19.9388244,-43.9274451,0.6834862432607984
111,"Rua Martim de Carvalho, 440 ",,3,1308632.0,3,82-86, Santo Agostinho, Belo Horizonte ,-19.9311733,-43.9479411,0.5088176428190964
112,Rua Gipsita ,,--,623030.0,--,400, Candelaria, Belo Horizonte ,-19.8098463,-43.9755178,0.7552779305396655
113,"Avenida Engenheiro Carlos Goulart, 1278 ",650.0,6,5212418.0,4,653, Buritis, Belo Horizonte ,-19.9703438,-43.960916,0.6348618420273563
114,"Rua Antônio de Albuquerque, 894 ",900.0,1,1793501.0,2,79, Savassi, Belo Horizonte ,-19.936584,-43.9421163,0.9566741927065405
115,"Rua Santa Rita Durão, 614 ",600.0,1,1018602.0,4,140, Savassi, Belo Horizonte ,-19.9344756,-43.9346452,0.9835475697576838
116,"Rua dos Tupis, 274 ",585.0,--,414905.0,3,99, Centro, Belo Horizonte ,-19.9205221,-43.9435645,0.3672582248175439
117,"Rua Bernardo Guimarães, 199 ",,2,1035504.0,2-3,67-94, Funcionários, Belo Horizonte ,-19.927333,-43.9477878,0.5667751846227528
118,"Rua Cata Preta, 459 ",150.0,1,209165.0,2,43, João Pinheiro, Belo Horizonte ,-19.932214,-43.9986254,0.9522832862725878
119,"Rua Císsus, 148 ",,1,4858334.0,13,2250, Juliana, Belo Horizonte ,-19.809608,-43.9442964,0.567461858267869
120,"Rua Dona Queridinha, 285 ",,2,661663.0,3,80, Itapoã, Belo Horizonte ,-19.837092,-43.9623659,0.8577640766494353
121,"Rua Engenheiro Walter Kurrle, 15 ",3700.0,4,3449577.0,4,239, Belvedere, Belo Horizonte ,-19.9777773,-43.9433639,0.8950943770499049
122,"Rua Visconde de Mauá, 95 ",234.0,1,238057.0,2,44, Califórnia, Belo Horizonte ,-19.9258557,-44.0140584,0.9028377253219307
123,"Rua dos Inconfidentes, 766 ",,2,1158369.0,2-3,65-81, Savassi, Belo Horizonte ,-19.937775,-43.9268338,0.03208221916702336
124,"Rua Trifana, 247 ",750.0,2,735971.0,2,72, Serra, Belo Horizonte ,-19.9442676,-43.9178316,0.32262926532398306
125,Rua Cantor Luiz Gonzaga ,140.0,2,667837.0,3,191, Castelo, Belo Horizonte ,-19.889068,-44.0008325,0.8201313345593607
126,Rua Frei Caneca ,240.0,1,345955.0,3,85, Bonfim, Belo Horizonte ,-19.907047,-43.9574328,0.9294873571845015
127,"Rua Mendoza, 83 ",400.0,2,542935.0,3,150, São Pedro, Belo Horizonte ,-19.9513071,-43.937821,0.6760176171351132
128,"Avenida Augusto de Lima, 1121 ",502.0,--,226010.0,1,50, Barro Preto, Belo Horizonte ,-19.9230616,-43.9441556,0.5311366053259852
129,"Rua Monte Simplon, 405 ",,2,488313.0,2,63, Nova Suíssa, Belo Horizonte ,-19.9295351,-43.9824004,0.38258500127408634
130,"Rua Antônio de Albuquerque, 1.008 ",,2,,3,106-170, Savassi, Belo Horizonte ,-19.936584,-43.9421163,0.02783949383349482
131,"Rua Rio de Janeiro, 1165 ",399.0,1,498429.0,1,58, Centro, Belo Horizonte ,-19.9150685,-43.9375314,0.8673463294448063
132,"Rua Cipreste, 200 ",320.0,1,270006.0,2,47, Marajó, Belo Horizonte ,-19.9605408,-43.978523,0.4896320624638961
133,"Avenida Afonso Pena, 4040 ",2000.0,3,3417495.0,6,400, Cruzeiro, Belo Horizonte ,-19.9469331,-43.9212512,0.39164928799249354
134,"Rua Turibaté, 191 ",1000.0,3,1118421.0,3,130, Sion, Belo Horizonte ,-19.9564616,-43.931951,0.354525083240677
135,"Rua Serranos, 61 ",1800.0,3,1763339.0,4,248, Serra, Belo Horizonte ,-19.9438121,-43.916671,0.755595003364901
136,"Rua Jacuí, 766 ",,5,1637709.0,5,315, Floresta, Belo Horizonte ,-19.8777593,-43.9290751,0.7820790482809963
137,"Rua dos Inconfidentes, 597 ",,2,818958.0,2,58, Savassi, Belo Horizonte ,-19.937775,-43.9268338,0.2881459762625981
138,"Rua Sônia, 203, ",,4,582123.0,3,137, Penha, Belo Horizonte ,-19.8583398,-43.9335451,0.1946759418855798
139,"Rua Paraguai, 66 ",400.0,2,695090.0,2,63, Sion, Belo Horizonte ,-19.947766,-43.9338933,0.12144265340113936
140,"Rua Belfort Roxo, 275 ",200.0,1,257530.0,3,70, Grajaú, Belo Horizonte ,-19.9427834,-43.9663408,0.9781250674891544
141,"Rua Araguari, 1331 ",1650.0,3,2277880.0,3,135, Santo Agostinho, Belo Horizonte ,-19.9304083,-43.9514156,0.6814339019251479
142,Rua Dona Cidinha Stussi ,260.0,1,474405.0,3,73, Santa Amélia, Belo Horizonte ,-19.8408076,-43.9848631,0.8601312132761169
143,"Rua Aluísio Lobão Veras, 201 ",250.0,1,272414.0,3,72, Serrano, Belo Horizonte ,-19.8816511,-44.0073674,0.8440709306110667
144,"Rua dos Inconfidentes, 597 ",,2,814819.0,2,57, Funcionários, Belo Horizonte ,-19.937775,-43.9268338,0.542503019946696
145,"Rua Monte Castelo, 170 ",250.0,2,921888.0,3,136, Itapoã, Belo Horizonte ,-19.8361417,-43.9696521,0.8342487101420084
146,"Rua Augusto Clementino, 275 ",,4,1350878.0,6,326, Santa Amélia, Belo Horizonte ,-19.8341265,-43.981495,0.257317765920101
147,Rua Desembargador Custódio Lustosa ,300.0,2,976156.0,3,106, Itapoã, Belo Horizonte ,-19.8360944,-43.957278,0.4841888009936659
148,"Rua Professor Aníbal Mattos, 313 ",700.0,1,696184.0,3,110, Santo Antônio, Belo Horizonte ,-19.9480862,-43.944339,0.22877676662999802
149,Rua Orange ,1750.0,2,1774476.0,4,143, São Pedro, Belo Horizonte ,-19.9410165,-43.9356136,0.16022581076462672
150,"Rua dos Borges, 390 ",166.0,1,173332.0,2,49, São Gabriel, Belo Horizonte ,-19.8413359,-43.8776027,0.5554757943494028
151,"Rua Genoveva de Souza, 879 ",,2,,2,69, Sagrada Família, Belo Horizonte ,-19.9067997,-43.9216393,0.23177558700380307
152,Rua Visconde de Taunay ,256.0,2,307121.0,3,70, Santa Mônica, Belo Horizonte ,-19.9281876,-43.9199884,0.007913340671587554
153,Rua Dona Cidinha Stussi ,,4,1137228.0,4,254, Santa Amélia, Belo Horizonte ,-19.8408076,-43.9848631,0.604371175812113
154,"Rua Tomé de Souza, 95 ",,3,2166507.0,3,118, Savassi, Belo Horizonte ,-19.9388244,-43.9274451,0.7108475343587904
155,"Rua Buenos Aires, 213 ",350.0,--,371411.0,2,75, Sion, Belo Horizonte ,-19.9499624,-43.9360413,0.0868910191717287
156,"Rua Bolívia, 387 ",760.0,1,465026.0,3,115, São Pedro, Belo Horizonte ,-19.9488009,-43.9368301,0.07204350818461291
157,"Rua Stella Hanriot, 518 ",817.0,3,787201.0,3,86, Buritis, Belo Horizonte ,-19.9715766,-43.9715633,0.9272930401490989
158,"Rua Araguari, 1692 ",,2,1018562.0,2-3,66-86, Santo Agostinho, Belo Horizonte ,-19.9304083,-43.9514156,0.6120663212277097
159,"Rua Senador Pompéo, 89 ",550.0,1,564869.0,2,63, Serra, Belo Horizonte ,-19.9361721,-43.9202723,0.2973746244387968
160,"Rua Pioneiros da Paz, 55 ",,5,1661639.0,5,360, Santa Amélia, Belo Horizonte ,-19.8388031,-43.9796899,0.9113935505457832
161,"Rua Dona Cecília, 86 ",1941.0,4,2245163.0,5,220, Serra, Belo Horizonte ,-19.9377676,-43.922114,0.22581518301026493
162,"Avenida Álvares Cabral, 397 ",,--,1556780.0,--,240, Lourdes, Belo Horizonte ,-19.9244866,-43.9354151,0.11986539280292252
163,"Rua Paracatu, 727 ",,2,1424157.0,1,180, Barro Preto, Belo Horizonte ,-19.9198913,-43.9512169,0.8679782531678951
164,"Avenida Vilarinho, 1731 ",355.0,1,283729.0,3,1000, Venda Nova, Belo Horizonte ,-19.8196297,-43.9521259,0.34915904675476883
165,"Rua Bauxita, 114 ",,2-3,,3,74-141, Santa Tereza, Belo Horizonte ,-19.9129781,-43.9189177,0.8578757615135651
166,"Rua Alvarenga Peixoto, 1285 ",350.0,1,744147.0,3,129, Santo Agostinho, Belo Horizonte ,-19.929576,-43.9494157,0.4484114340887412
167,"Avenida José Cândido da Silveira, 509 ",,--,1344362.0,--,360, Cidade Nova, Belo Horizonte ,-19.8772474,-43.9104561,0.20301471838324991
168,Rua Mário de Andrade Gomes ,,2,457932.0,4,150, Sagrada Família, Belo Horizonte ,-19.9109591,-43.9187938,0.7418361705991587
169,"Rua Alcântara, 423 ",,2,1276472.0,4,178, Nova Granada, Belo Horizonte ,-19.9374107,-43.9712444,0.604289952044007
170,"Rua São Romão, 209 ",450.0,2,689308.0,3,118, Santo Antônio, Belo Horizonte ,-19.9450687,-43.9402399,0.5076429319966331
171,"Rua dos Inconfidentes, 732 ",850.0,1,1702891.0,3,200, Savassi, Belo Horizonte ,-19.937775,-43.9268338,0.35260373757355645
172,"Rua Gonçalves Dias, 31 ",,3,,3,106-170, Funcionários, Belo Horizonte ,-19.9311846,-43.9376407,0.1531783607753211
173,"Rua Senhora da Paz, 1013 ",,2,1072316.0,5,211, Cachoeirinha, Belo Horizonte ,-19.8934302,-43.9446795,0.16995498967739264
174,"Rua Carioca, 750 ",,3,772810.0,4,97, Padre Eustáquio, Belo Horizonte ,-19.9158375,-43.9876115,0.040137592408314715
175,"Rua Aramirim, 35 ",720.0,2,703134.0,3,66, Nova Suíssa, Belo Horizonte ,-19.9329559,-43.9727671,0.9175230829804611
176,Rua dos Otoni ,921.0,2,1360945.0,3,101, Santa Efigênia, Belo Horizonte ,-19.86409,-43.9327907,0.019801238481672923
177,"Rua Expedicionário Salvador Alves, 144 ",160.0,1,230571.0,2,55, Itatiaia, Belo Horizonte ,-19.8703915,-44.0136668,0.5285745402108339
178,"Alameda das Palmeiras, 95 ",,13,3804197.0,7,800, São Luíz, Belo Horizonte ,-19.857305,-43.9715466,0.0587115625374357
179,"Rua Fernandes Tourinho, 221 ",,2,,2,63-67, Savassi, Belo Horizonte ,-19.9393917,-43.9358894,0.3084182457604381
180,"Rua Francisco Augusto Rocha, 101 ",400.0,2,443792.0,3,69, Planalto, Belo Horizonte ,-19.8259057,-43.9535056,0.12259632855757685
181,"Rua Nelson, 319 ",,--,501612.0,--,50, União, Belo Horizonte ,-19.8821223,-43.9237077,0.4054521841246054
182,"Rua Conceição do Pará, 556 ",,--,3785840.0,--,853, Santa Inês, Belo Horizonte ,-19.894933,-43.9115401,0.8307509130651387
183,"Rua Deputado Bernardino de Sena Figueiredo, 1177 ",,3,855458.0,3,150, Cidade Nova, Belo Horizonte ,-19.8840778,-43.9282818,0.4061022413724732
184,Rua Itabira ,220.0,1,299934.0,3,60, Colégio Batista, Belo Horizonte ,-19.9076379,-43.94024,0.3182582765771471
185,"Praça Afonso Arinos, 176 ",900.0,1,837373.0,3,150, Centro, Belo Horizonte ,-19.9253271,-43.93653147605973,0.16497957686783293
186,"Rua Dante, 133 ",,2,870484.0,4,132, São Lucas, Belo Horizonte ,-19.9305605,-43.9206684,0.018782386883600566
187,"Rua Sergipe, 15 ",500.0,--,378325.0,2,77, Funcionários, Belo Horizonte ,-19.9276923,-43.9354354,0.4643868556180948
188,"Rua Oliveiro Marciano, 315 ",300.0,1,168958.0,2,45, Diamante, Belo Horizonte ,-19.992021,-44.0224834,0.2713831012216914
